basevariante,poids,unite_poids
Abricot en dés,49,g
Abricot dénoyauté,49,g
Abricot oreillon,49,g
Abricot,49,g
Abricot,49,g
Abricot sec moelleux,49,g
Abricot sec,49,g
Ail épluché,60,g
Ail en morceaux,60,g
Ail,60,g
Ail séché,60,g
Ail haché,60,g
Airelles,100,g
Alfalfa,100,g
Ananas tranche,1172,g
Ananas en carpaccio,1172,g
Ananas en cubes,1172,g
Ananas en dés,1172,g
Ananas,1172,g
Ananas en morceaux,1172,g
Ananas victoria,1172,g
Aneth,100,g
Anone,200,g
Artichaut,283,g
Artichaut,283,g
Artichaut coeur,283,g
Artichaut coeur,283,g
Artichaut coeur,283,g
Artichaut coeur,283,g
Artichaut coeur,283,g
Asperge pointes,20,g
Asperge,20,g
Asperge épluché,20,g
Asperge pelé,20,g
Asperge,20,g
Asperge,20,g
Asperge verte,20,g
Asperge blanche,20,g
Aubergine,300,g
Aubergine grillée,300,g
Aubergine en cubes,300,g
Aubergine lamelle,300,g
Aubergine en cubes,300,g
Aubergine lamelle,300,g
Avocat en demi,208,g
Avocat,208,g
Bambou pousses,500,g
Bambou pousses,500,g
Banane,150,g
Banane plaintain,150,g
Banane séchés,150,g
Basilic,30,g
Batavia,200,g
Batavia,200,g
Batavia épluché,200,g
Betterave rouge en lanière,100,g
Betterave rouge,300,g
Betterave rouge rapé,100,g
Betterave rouge en cubes,100,g
Betterave rouge rapé,100,g
Betterave rouge,300,g
Blette,100,g
Blette,350,g
Bok choy,250,g
Brocoli fleurette,483,g
Brocoli,483,g
Brocoli,483,g
Brocoli croquant,483,g
Brugnon,150,g
Brunoise de légumes,100,g
Butternut en cubes,100,g
Butternut,700,g
Caïmite,150,g
Canneberge,100,g
Canneberge séchée sucrée,100,g
Carambole,100,g
Cardon,100,g
Cardon,60,g
Cardon épluché,100,g
Carotte blanche,105,g
Carotte jaune,105,g
Carotte brunoise,105,g
Carotte mirepoix,105,g
Carotte rapée,105,g
Carotte brunoise,105,g
Carotte mirepoix,105,g
Carotte rapée,105,g
Carotte épluchée,105,g
Carotte épluchée,105,g
Carotte,105,g
Carotte,105,g
Carotte,105,g
Carotte bâtonnet,105,g
Carotte bâtonnet,105,g
Carotte rondelle,105,g
Carotte rondelle,105,g
Carotte rondelle,105,g
Carotte rondelle,105,g
Carotte duo,105,g
Carotte croquante,105,g
Carotte fondante,105,g
Cassis,100,g
Cébette,100,g
Céleri branche,483,g
Céleri branche,483,g
Céleri branche,483,g
Céleri branche,483,g
Céleri branche épluché,483,g
Céleri-rave épluché,1150,g
Céleri-rave,1150,g
Céleri-rave,1150,g
Céleri-rave,1150,g
Céleri-rave rapé,1150,g
Céleri-rave rapé,1150,g
Cerfeuil,100,g
Cerise,8,g
Cerise griotte,8,g
Cerise noire,8,g
Cerise dénoyauté,8,g
Cerise acérola,8,g
Cerise bigarrreaux rouge,8,g
Cerise bigarrreaux verte,8,g
Cerise bigarrreaux dénoyautés,8,g
Chadèque,250,g
Champignon cèpe,250,g
Champignon émincé,250,g
Champignon chanterelle,250,g
Champignon girofle,250,g
Champignon lentin,250,g
Champignon morille,250,g
Champignon oronge vraie,250,g
Champignon pleurote,250,g
Champignon rosé des prés,250,g
Champignon,250,g
Champignon,250,g
Champignon truffe noire,250,g
Champignon de Paris épluché,250,g
Champignon de Paris,250,g
Champignon de Paris,250,g
Champignon de Paris,250,g
Champignon hôtel,250,g
Champignon noir séché,250,g
Champignon noir sec,250,g
Champignon pied & morceaux,250,g
Chayote,200,g
Chérimole,200,g
Chicorée rouge,10,g
Chicorée verte,300,g
Chou blanc émincé,200,g
Chou blanc émincé,200,g
Chou blanc,200,g
Chou chinois,200,g
Chou de Bruxelles,200,g
Chou de Bruxelles,200,g
Chou de Bruxelles,200,g
Chou dur,200,g
Chou frisé,200,g
Chou romanesco,1150,g
Chou rouge émincé,1350,g
Chou rouge émincé,1350,g
Chou rouge,1350,g
Chou vert émincé,1350,g
Chou vert émincé,1350,g
Chou vert,1350,g
Chou-fleur fleurette,1150,g
Chou-fleur épluché,1150,g
Chou-fleur,1150,g
Chou-fleur,1150,g
Chou-fleur,1150,g
Chou-rave,200,g
Choux nature,100,g
Christophine,100,g
Christophine blanche,100,g
Christophine verte,100,g
Ciboulette hachée,100,g
Ciboulette,100,g
Ciboulette,100,g
Citron vert,138,g
Citron jaune,138,g
Citron,138,g
Citron zeste,200,g
Citron confit au sel,820,g
Citronnelle,200,g
Citrouille épluché,100,g
Citrouille,100,g
Clémentine,49,g
Coeur de palmier,100,g
Cœur de palmier,100,g
Coing,100,g
Concombre en cubes,400,g
Concombre en cubes,400,g
Concombre épluché,400,g
Concombre épluché,400,g
Concombre rondelle,400,g
Concombre rondelle,400,g
Concombre,400,g
Coriandre,200,g
Coriandre en grains,100,g
Coriandre en grain,100,g
Cotes de blettes,100,g
Courge,100,g
Courge hokkaïdo,100,g
Courge melonnette,100,g
Courge musquée,100,g
Courge spaghetti,100,g
Courgette bâtonnet,125,g
Courgette bâtonnet,125,g
Courgette épluché,125,g
Courgette épluché,125,g
Courgette farçie,125,g
Courgette rondelle,125,g
Courgette rondelle,125,g
Courgette rondelle,125,g
Courgette,125,g
Courgette,125,g
Courgette en cubes,125,g
Courgette en cubes,125,g
Cranberry,100,g
Cranberry séchée sucrée,100,g
Cresson,200,g
Cresson,200,g
Cresson épluché,200,g
Cresson alénois,200,g
Cresson de fontaine,200,g
Cresson feuille,200,g
Crosne,100,g
Crosne,100,g
Dachine,100,g
Datte,35,g
Datte sèche,35,g
Dourian,100,g
Echalote,25,g
Echalote épluché,25,g
Echalote haché,25,g
Echalote émincé,25,g
Echalote émincé,25,g
Échalote,25,g
Endive,150,g
Epinard branche,100,g
Épinard épluché,100,g
Épinard,100,g
Épinard,100,g
Épinard,100,g
Épinard jeunes pousses,100,g
Estragon,100,g
Feijoa,100,g
Fenouil,300,g
Fenouil émincé,300,g
Fenouil épluché,300,g
Feuille de chêne,100,g
Feuille de chêne,100,g
Feuille de chêne épluché,100,g
Figue,200,g
Figue de Barbarie,100,g
Figue sèche,100,g
Flageolet,100,g
Fraise,15,g
Framboise,5,g
Framboise,5,g
Framboise à base de maïs à la cacahuète,5,g
Frisée,200,g
Frisée,200,g
Frisée épluché,200,g
Frites fraiche,200,g
Frites,100,g
Frites préfrites pour cuisson en friteuse,100,g
Frites préfrites pour cuisson micro-ondes,100,g
Frites préfrites pour cuisson rôtie/ au four,100,g
Fruit à pain,100,g
Fruit de la passion,100,g
Fruit rouge,100,g
Fruits rouges,100,g
Giraumon variété phoenix,100,g
Giraumon variété phoenix,100,g
Giraumon,100,g
Giraumon,100,g
Girofle,100,g
Gombo,100,g
Gombo blanchi,100,g
Gombo,100,g
Goyave,100,g
Grenade,1,g
Griotte,100,g
Groseille,13,g
Groseille à maquereau,13,g
Haricot beurre,200,g
Haricot beurre,200,g
Haricot beurre,200,g
Haricot de Lima,80,g
Haricot midnight black,80,g
Haricot mungo,100,g
Haricot mungo,80,g
Haricot plat,200,g
Haricot plat,200,g
Haricot vert extra fin,200,g
Haricot vert,200,g
Haricot vert,200,g
Haricots verts,200,g
Igname épluchée,150,g
Igname jaune,150,g
Igname saint martin,150,g
Igname,150,g
Julienne de légumes,200,g
Kaki,110,g
Kamanioc,300,g
Kiwi hayward,100,g
Kiwi,100,g
Kiwi jaunes,100,g
Kumquat,10,g
Laitue,50,g
Laitue,50,g
Laitue iceberg,50,g
Laitue romaine,50,g
Légumes pour couscous,150,g
Légumes pour couscous,150,g
Légumes pour pot au feu,150,g
Légumes pour potages,150,g
Légumes pour ratatouille,150,g
Lime,50,g
Litchi,20,g
Lolorossa,50,g
Longan,3,g
Macédoine de légumes,150,g
Macédoine de légumes,150,g
Macédoine de légumes,150,g
Mâche épluché,50,g
Mâche,50,g
Mâche,50,g
Maïs doux,100,g
Maïs doux,150,g
Maïs doux en épis,200,g
Maïs doux en épis,200,g
Mandarine,90,g
Mandarine au sirop,100,g
Mango bassignac,100,g
Mango moussache,100,g
Mangue,475,g
Mangue julie,475,g
Mangue verte,475,g
Mangue José,475,g
Manioc,150,g
maracudja,100,g
Massissi,250,g
Melon charentais de cavaillon,889,g
Melon vert,889,g
Melon honeydew,889,g
Melon miel,889,g
Melon,889,g
Menthe,20,g
Menthe séché,20,g
Mesclun,50,g
Mirabelle,15,g
Mirabelle,200,g
Mirabelle entier dénoyauté,200,g
Mûre,250,g
Mûre noire,250,g
Mûre,250,g
Myrtille,2,g
Myrtille,2,g
Navet bâtonnet,236,g
Navet bâtonnet,236,g
Navet épluché,236,g
Navet lamelle,236,g
Navet lamelle,236,g
Navet long blanc,236,g
Navet long,236,g
Navet,236,g
Navet,236,g
Navet en cubes,236,g
Navet en cubes,236,g
Navet,236,g
Nectarine,140,g
Nectarine blanche,140,g
Nectarine jaune,140,g
Nectavigne,140,g
Nèfle du Japon,25,g
Oignon nouveau,100,g
Oignon rouge,100,g
Oignon,100,g
Oignon,100,g
Oignon jaune,100,g
Oignon,100,g
Oignon,100,g
Oignon séché,100,g
Oignon frit,100,g
Oignon blanc,100,g
Oignons grelot,200,g
Oignons émincé,100,g
Orange,187,g
Orange sanguine,187,g
Oseille épluché,100,g
Oseille,100,g
Pak choï tiges et feuilles,275,g
Pamplemousse,289,g
Pamplemousse chinois,289,g
Panais en cubes,200,g
Panais épluché,200,g
Panais,200,g
Papaye,500,g
Pastèque,2500,g
Pastèque sans pépins,2500,g
Patate douce blanchie,100,g
Patate douce,100,g
Perles du Japon,100,g
Petits pois,100,g
Petits pois,100,g
Petits pois,100,g
Petits pois et carottes,100,g
Petits pois et carottes,100,g
Piment extra fin moulu,100,g
Piment,100,g
Pissenlit,100,g
Poire en quartier,132,g
Poire en cubes,132,g
Poire en cubes,132,g
Poire,132,g
Poire,132,g
Poire,132,g
Poire lamelle,132,g
Poire lamelle,132,g
Poire williams,132,g
Poire conférence,132,g
Poire sorbet,132,g
Poireau épluché,150,g
Poireau émincé,150,g
Poireau émincé,150,g
Poireau émincé,150,g
Poireau,150,g
Poireau,150,g
Poireau,150,g
Poireau,150,g
Poireau coupé,150,g
Pois d'angole,100,g
pois gourmands,100,g
Poivron jaune émincé,125,g
Poivron jaune épluché,125,g
Poivron rouge émincé,125,g
Poivron rouge épluché,125,g
Poivron vert émincé,125,g
Poivron vert épluché,125,g
Poivron vert,125,g
Poivron lanière,125,g
Poivron jaune,125,g
Poivron rouge,125,g
Poivron rouge,125,g
Poivron,125,g
Poivron Corne de boeuf,1,kg
Pomelo rose,289,g
Pomelo,289,g
Pomelo jaune,289,g
Pomelo rouge,289,g
Pomme en quartier,185,g
Pomme en cube saveur pain d'épice,185,g
Pomme sèche,185,g
Pomme golden,185,g
Pomme en cubes,185,g
Pomme lamelle,185,g
Pomme en cubes,185,g
Pomme lamelle,185,g
Pomme,185,g
Pomme,185,g
Pomme bicolore,185,g
Pomme,185,g
Pomme canada,185,g
Pomme chantecler,185,g
Pomme gala,185,g
Pomme granny smith,185,g
Pomme pink lady,185,g
Pomme cannelle,185,g
Pomme liane,185,g
Pomme d'eau,185,g
Pomme de cajou,185,g
Pomme de terre de conservation sans peau,95,g
Pomme de terre épluché,95,g
Pomme de terre flocons au lait ou à la crème,95,g
Pomme de terre flocons,95,g
Pomme de terre nouvelle,95,g
Pomme de terre sans peau,95,g
Pomme de terre sautée pré-frite,95,g
Pomme de terre vapeur sous vide,95,g
Pomme de terre dauphine,95,g
Pomme de terre vitelotte,95,g
Pomme de terre Grenaille,95,g
