basevariante,conditionnement,poids,unite_poids
Abricot,4/4,475,g
Abricot oreillon,5/1,"2,4",kg
Abricot oreillon,4/4,480,g
Abricot oreillon,5/1,"2,4",kg
Ananas tranche,4/4,490,g
Artichaut,3/1,"1,495",kg
Artichaut coeur,4/4,480,g
Artichaut coeur,3/1,"1,31",kg
Artichaut fond,3/1,"1,301",kg
Artichaut fond,4/4,420,g
Artichaut fond,3/1,"1,31",kg
Asperge,4/4,425,g
Asperge blanche,4/4,500,g
Betterave rouge,5/1,"2,655",kg
Betterave rouge en cubes,5/1,"2,655",kg
Bouchées traiteur,5/1,4,kg
Canard,5/1,"2,125",kg
Cannelloni Boeuf préemballé,5/1,4,kg
Câpre,4/4,800,g
Câpres au vinaigre,4/4,480,g
Carotte,5/1,"2,4",kg
Carotte rapée,5/1,"2,21",kg
Carotte rondelle,5/1,"2,4",kg
Cassoulet,5/1,"4,2",kg
Céleri branche,5/1,150,g
Céleri-rave rapé,5/1,"2,21",kg
Céleri-rave rapé,5/1,"2,21",kg
Cerise bigarreaux dénoyautés,5/1,"2,335",kg
Cerise bigarreaux dénoyautés,4/4,840,kg
Champignon de Paris,3/1,"1,435",kg
Champignon de Paris,5/1,"2,665",kg
Champignon de Paris,4/4,460,g
Champignons à la grecque,5/1,"2,665",kg
Choucroute sans garniture préemballé,5/1,"4,1",kg
Cocktail de fruits,3/1,"1,48",kg
Cocktail de fruits,5/1,"2,505",kg
Cocktail de fruits,4/4,"2,505",kg
Cocktail de fruits,5/1,500,g
Cocktail de fruits,5/1,"2,5",kg
Cocktail de fruits,4/4,500,g
Cœur de palmier,4/4,500,g
Compote de pêche,5/1,"4,3",kg
Compote de pêche,5/1,"4,25",kg
Compote de poire,5/1,"4,2",kg
Compote de poire,5/1,"4,25",kg
Compote de pomme,5/1,"4,25",kg
Compote de pomme,5/1,"4,25",kg
Compote pomme/abricot,5/1,"4,25",kg
Compote pomme/banane,5/1,"4,25",kg
Compote pomme/cassis,5/1,"4,25",kg
Compote pomme/fraise,5/1,"2,25",kg
Compote pomme/framboise,5/1,"4,25",kg
Compote pomme/pêche,5/1,"4,25",kg
Compote pomme/poire,5/1,"4,2",kg
Compotes de fruits,5/1,"4,25",kg
Confit de canard,5/1,"2,125",kg
Confiture d'abricot,5/1,5,kg
Confiture de fraise,5/1,5,kg
Cornichon,5/1,"2,12",kg
Cornichon,5/1,"2,12",kg
Cornichon en rondelles,5/1,"2,12",kg
Cotes de blettes,5/1,"2,505",kg
Couscous de légumes,5/1,4,kg
Crème de marrons vanillée,4/4,1,kg
Crème dessert,5/1,"4,3",kg
Crème dessert à la pistache,5/1,"4,3",kg
Crème dessert à la vanille,3/1,"3,2",kg
Crème dessert à la vanille,5/1,"4,3",kg
Crème dessert au café,5/1,"4,3",kg
Crème dessert au caramel,3/1,"3,2",kg
Crème dessert au caramel,5/1,"4,3",kg
Crème dessert au chocolat,5/1,4,kg
Crème dessert au chocolat,3/1,"3,2",kg
Crème dessert au chocolat,5/1,"4,3",kg
Crème dessert,5/1,"4,1",kg
Crème dessert créole,5/1,"4,3",kg
Crème dessert praliné,5/1,"4,3",kg
Crème dessert praliné,5/1,"4,3",kg
Crème dessert vanille,5/1,4,kg
Endive,4/4,530,g
Endive,5/1,"2,42",kg
Épinard,5/1,"2,655",kg
Epinard branche,5/1,"2,655",kg
Fenouil,5/1,"2,505",kg
Flageolet,4/4,560,g
Flageolet,5/1,"4,67",kg
Fumet de crustacés,3/1,"2,4",kg
Fumet de crustacés,4/4,800,g
Garniture céleri,5/1,"2,565",kg
Gésier de canard confit,4/4,765,g
Graisse de canard,4/4,765,g
Haricot beurre,4/4,440,g
Haricot beurre,5/1,"2,21",kg
Haricot blanc,5/1,4,kg
Haricot blanc,5/1,"2,655",g
Haricot mungo,3/1,"1,12",kg
Haricot mungo,4/4,350,g
Haricot rouge,3/1,"1,56",kg
Haricot rouge,5/1,"2,505",kg
Haricot rouge,3/1,"1,56",kg
Haricot vert,5/1,"2,21",kg
Haricot vert extra fin,5/1,"2,21",kg
Haricot vert extra fin,4/4,440,g
Haricot vert extra fin,5/1,"2,21",kg
Haricot vert extra fin,4/4,440,g
Julienne de légumes,5/1,"2,565",kg
Laitue,5/1,150,g
Légumes pour couscous,5/1,"2,655",kg
Lentille,5/1,"2,655",kg
Lentille verte,5/1,"2,655",kg
Macédoine de légumes,5/1,"2,655",kg
Macédoine de légumes,4/4,530,g
Macédoine de légumes,5/1,"2,655",kg
Maïs doux,4/4,570,g
Maïs doux,3/1,"1,755",kg
Maïs doux,4/4,570,g
Maïs doux,3/1,"1,775",kg
Mandarine au sirop,3/1,"1,5",kg
Maquereau,3/1,"2,4",kg
Maquereau,4/4,405,g
Maquereau filet,3/1,"1,206",kg
Maquereau filet,4/4,405,g
Maquereau filet,3/1,"1,1",kg
Maquereau filet,4/4,367,g
Maquereau filet,3/1,"1,206",kg
Maquereau filet,4/4,402,g
Maquereau filet au vin blanc,4/4,705,g
Maquereau filet au vin blanc,3/1,"1,206",kg
Maquereau filet au vin blanc,3/1,"1,206",kg
Maquereau filet sauce moutarde,3/1,"1,098",kg
Maquereau filet sauce moutarde,4/4,367,g
Maquereau filet sauce moutarde,3/1,"1,04",kg
Maquereau filet sauce moutarde,4/4,350,g
Maquereau filet sauce tomate,3/1,"1,098",kg
Maquereau filet sauce tomate,4/4,367,g
Maquereau filet sauce tomate,4/4,367,g
Maquereau filet sauce tomate,3/1,"1,04",kg
Marron,4/4,560,g
Mirabelle,5/1,"2,335",kg
Mogette,5/1,4,kg
Oignons émincé,5/1,"3,9",kg
Olive noire dénoyauté,4/4,360,g
Olive noire dénoyauté,5/1,2,kg
Olive verte dénoyauté,4/4,360,g
Olive verte dénoyauté,5/1,2,kg
Pêche au sirop,5/1,"2,38",kg
Pêche oreillon,4/4,465,g
Pêche oreillon,5/1,"2,335",kg
Petit pois très fin,4/4,560,g
Petit pois très fin,5/1,"2,805",kg
Petit pois très fin,4/4,560,g
Petit pois très fin,5/1,"2,805",kg
Piperade basquaise,3/1,"2,5",kg
Poire,4/4,460,g
Poire,5/1,"2,3",kg
Poire au sirop,5/1,"2,38",kg
Poire au sirop léger,5/1,"2,3",kg
Poire williams,4/4,455,g
Poire williams,5/1,"2,125",kg
Poireau,3/1,"1,56",kg
Pois chiche,4/4,530,g
Pois chiche,5/1,"2,655",kg
Pomme de terre,5/1,"2,655",kg
Pomme en quartier,5/1,"2,38",kg
Pousse d'epinard,3/1,"2,495",kg
Préparation taboulé,5/1,4,kg
Préparation taboulé,3/1,"2,8",kg
Préparation taboulé,5/1,4,kg
Pruneau,5/1,"2,5",kg
Pruneau dénoyauté,5/1,"4,25",kg
Purée de pomme,5/1,"4,25",kg
Quenelle de veau en sauce,5/1,"2,55",kg
Quenelle de volaille,5/1,"2,55",kg
Quetsche,5/1,"2,335",kg
Ratatouille,3/1,"2,5",kg
Ratatouille,5/1,"3,75",kg
Raviolis,5/1,"4,2",kg
Raviolis au boeuf,5/1,4,kg
Riz au lait,5/1,"4,2",kg
Salade de carotte,5/1,"2,8",kg
Salade de Coleslaw,5/1,"2,21",kg
Salade de pâtes végétarienne,5/1,"2,8",kg
Salade de riz à la niçoise,5/1,"2,8",kg
Salsifis,4/4,500,g
Salsifis,5/1,"2,505",kg
Sardine à l'huile,3/1,"1,466",kg
Sardine à l'huile,4/4,488,g
Sardine à l'huile,3/1,"1,446",kg
Sardine à l'huile,4/4,488,g
Sardine à la tomate,3/1,"1,362",kg
Sauce au chocolat,3/1,"3,1",kg
Sauce basquaise,3/1,"2,5",kg
Sauce bolognaise,3/1,"2,4",kg
Sauce tomate,3/1,"2,6",kg
Sauce tomate,5/1,"3,825",kg
Sauce tomate,3/1,"2,8",kg
Sauce tomate,5/1,4,kg
Sauce tomate,3/1,"2,5",kg
Sauce tomate aux oignons,3/1,"2,5",kg
Saucisse de Strasbourg,5/1,"2,4",kg
Segments oranges,3/1,"1,5",kg
Thon à l'huile de tournesol miettes,3/1,"2,4",kg
Thon albacore ou thon jaune,4/4,600,g
Thon,3/1,"1,8",kg
Thon listao,4/4,600,g
Tomate concentré,3/1,"2,55",kg
Tomate concentré,3/1,"2,5",kg
Tomate double concentré,4/4,880,g
Tomate double concentré,5/1,"4,5",kg
Tomate pelée concassée,3/1,"2,5",kg
Tomate pelée concassée,5/1,"3,825",kg
Tomate pelée concassée entière,5/1,"2,7",kg
Tomate pelée concassée entière,3/1,"2,916",kg
Tomate pelée concassée entière,4/4,480,g
Tomate pulpe,4/4,780,g
Tomate pulpe,5/1,"3,825",kg
Tomate pulpe,3/1,"2,5",kg
Topinambour,3/1,"1,47",kg
